"G.U.Pope & Co - Commentary",Transliteration,T.Kannan,"Yogi Shuddhananda Bharatiyar","G.U.Pope & Co - Poems","Ramachandra Dikshitar","Satguru Sivaya Subramuniyaswami","Various Translators",Dinamalar
"As the letter A is the first of all letters, so the eternal God is first in the world.","Akara Mudhala Ezhuththellaam Aadhi
Pakavan Mudhatre Ulaku","A is the first of the alphabet; God is the primary force of the world.","A' leads letters; the Ancient Lord 
Leads and lords the entire world.","A, as its first of letters, every speech maintains;
The 'Primal Deity' is First through all the world's domains","All the letters have the letter ‘A’ as their Origin; this world has God as its origin.","“A” is the first and source of all the letters. Even so is God Primordial the first and source of all the world.","With alpha begins all alphabets;
And the world with the first Bagavan.","With alpha begins all alphabets; And the
world with the first Bagavan."
"What Profit have those derived from learning, who worship not the good feet of Him who is possessed of pure knowledge ?","Of what avail is learning if one worships
not The holy feet of Pure Intelligence?","Katradhanaal Aaya Payanenkol Vaalarivan
Natraal Thozhaaar Enin","What is the use of all your learning, if you can’t surrender yourself at the feet of God.","That lore is vain which does not fall 
At His good feet who knoweth all.","Of what avail is learning, if the learned do not adore the good feet of Him who is Immaculate Wisdom?","No Fruit have men of all their studied lore,
Save they the 'Purely Wise One's' feet adore.","What has learning profited a man, if it has not led him to worship the Good Feet of Him who is pure knowledge itself?","Of what avail is learning if one worships not
The holy feet of Pure Intelligence?"
"Long life on earth is theirs who reach The
glorious feet of Him who walked on flowers.","Those who find refuge in the great feet (of Him) who lives in the lotus of the heart (of the devotee) live eternally in heaven.","Malarmisai Ekinaan Maanati Serndhaar
Nilamisai Neetuvaazh Vaar","Those who surrender themselves at feet of the one, who resides in the flower-like hearts of all, will live long and well.","Long they live on earth who gain 
The feet of God in florid brain.","His Feet, 'who o'er the full blown flower hath past,' who gain
In bliss long time shall dwell above this earthly plain.","The Supreme dwells within the lotus of the heart. Those who reach His Splendid Feet dwell enduringly within unearthly realms.","Long life on earth is theirs who reach
The glorious feet of Him who walked on flowers.","They who are united to the glorious feet of Him who passes swiftly over the flower of the mind, shall flourish long above all worlds."
"Those who have attained the feet of Him who has no likes or dislikes will be rid of all troubles.","No evil will befall those who reach the
feet Of the One beyond likes and dislikes.","Ventudhal Ventaamai Ilaanati
Serndhaarkku Yaantum Itumpai Ila","Those who surrender at the feet of the one, who doesn’t have wants or hates, will never have any hassles anywhere.","Who hold His feet who likes nor loathes
Are free from woes of human births.","His foot, 'Whom want affects not, irks not grief', who gain
Shall not, through every time, of any woes complain.","Draw near the Feet of Him who is free of desire and aversion, and live forever free of suffering.","No evil will befall those who reach the feet
Of the One beyond likes and dislikes.","To those who meditate the feet of Him who is void of desire or aversion, evil shall never come."
"Actions, both good and bad that spring from darkness of the mind will never touch those who ever chant the glories of the Lord.","The twin deeds of dark illusion do not
affect those Who delight meaningfully in Lord's
praise.","Irulser Iruvinaiyum Seraa Iraivan
Porulser Pukazhpurindhaar Maattu","Fate, which impacts those in the darkness of ignorance, will not impede those who hail the true glory of God.","God's praise who tell, are free from right 
And wrong, the twins of dreaming night.","The men, 'who on the ''King's' true praised delight to dwell,
Affects not them the fruit of deeds done ill or well.","Good and bad, delusion’s dual deeds, do not cling to those who delight in praising the Immutable, Worshipful One.","The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God.","The twin deeds of dark illusion do not affect those
Who delight meaningfully in Lord's praise."
"Those who still the five senses and walk in truth and right will ever live.","Long life is theirs who tread the path of
Him Who conquered the five senses.","Porivaayil Aindhaviththaan Poidheer
Ozhukka Nerinindraar Neetuvaazh Vaar","Those who follow the true moral path of the one, who has doused the desires of the five senses, will last long.","They prosper long who walk His way 
Who has the senses signed away.","Long live they blest, who've stood in path from falsehood freed;
His, ‘Who quenched lusts that from the sense gates five proceed.","A long and joyous life rewards those who remain firmly on the faultless path of Him who controls the five senses.","Those shall long proposer who abide in the faultless way of Him who has destroyed the five desires of the senses.","Long life is theirs who tread the path of Him
Who conquered the five senses."
"They alone escape from sorrows who take refuge
In the feet of Him beyond compare.","They alone escape from sorrows who take
refuge In the feet of Him beyond compare.","Thanakkuvamai Illaadhaan Thaalserndhaark
Kallaal
Manakkavalai Maatral Aridhu","Except for those who surrender at the feet of the one, for whom, there is no simile, it is tough to cure the mental rues.","His feet, whose likeness none can find, 
Alone can ease the anxious mind.","Unless His foot, ‘to Whom none can compare,‘ men gain,
‘Tis hard for mind to find relief from anxious pain.","Anxiety of mind cannot be removed, except from those who are united to the feet of Him who is incomparable.","They alone dispel the mind’s distress who take refuge at the Feet of the Incomparable One.","Only those who have sought refuge in the feet of the peerless can shake off anxiety. Others cannot."
"None can swim the sea of births, but those united
To the feet of that Being, a sea of virtue.","None can swim the sea of births, but those
united To the feet of that Being, a sea of virtue.","Aravaazhi Andhanan Thaalserndhaark
Kallaal
Piravaazhi Neendhal Aridhu","Except those who surrender at the feet of God, the ocean of morality, others will struggle to cross the ocean of desire.","Who swims the sea of vice is he 
Who clasps the feet of Virtue's sea.","None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue.","Unless His feet, the Sea of Good, the Fair and Bountilful,’men gain,
‘Tis hard the further bank of being’s changeful sea to attain.","They alone can cross life’s other oceans who take refuge at the Feet of the Gracious One, Himself an Ocean of Virtue.","Only those who have clung to the feet of the Lord who is the sea of righteousness, will be able to sail the other seas. Others cannot."
"Depraved, senseless and worthless is the head
Unbowed at the feet of Him with eight qualities.","Depraved, senseless and worthless is the
head Unbowed at the feet of Him with eight qualities.","The head that worships not the feet of Him who is possessed of eight attributes, is as useless as a sense without the power of sensation.","Kolil Poriyin Kunamilave
Enkunaththaan
Thaalai Vanangaath Thalai","The head that doesn’t bow to God, is similar to the organs that don’t have the right senses.","Like senses stale that head is vain 
Which bows not to Eight-Virtued Divine.","Before His Foot, ‘the Eight fold Excellence,‘ with unbent head,
Who stands, like palsied sense, is to all living functions dead.","The head that does not bow down before and worship the feet of the Lord of the eight attributes, will be as like the palsied senses.","The head which cannot bow before the Feet of the Possessor of eight infinite powers is like the senses lacking the power to perceive."
"The ocean of births can be crossed by none other than
Those who reach the feet of the Lord.","None can swim the great sea of births but those who are united to the feet of God.","The ocean of births can be crossed by none
other than Those who reach the feet of the Lord.","Piravip Perungatal Neendhuvar
Neendhaar
Iraivan Atiseraa Thaar","Those who surrender at the feet of God, will cross the great ocean of life; others won’t.","The sea of births they alone swim 
Who clench His feet and cleave to Him.","Those who gain the feet of the Lord cross the great ocean of births; others cannot.","They swim the sea of births, the 'Monarch’s’ foot who gain;
None other’s reach the shore of being’s mighty main.","The boundless ocean of births can be crossed, indeed, but not without intimate union with Infinity’s Holy Feet."
